id,address_1,city,state_province,postal_code,country,latitude,longitude
569,5982 Al-Quds Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.559925,34.542256
570,29608 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.425677,34.350554
571,055 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.711368,35.186432
572,95126 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.538105,35.092321
573,408 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.75951,35.26919
574,37140 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.324937,35.221775
575,73457 Al-Wehda Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.521202,34.485157
576,275 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.702373,35.214938
577,7285 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.515917,35.06358
578,86204 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.358469,34.285217
579,001 Al-Wehda Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.921598,35.21719
580,216 Aqabat Jaber Street,Jericho,The State of Palestine,90600,The State of Palestine,31.86171,35.44292
581,88230 Asira Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.191745,34.583168
582,81384 Al-Quds Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.907501,35.201858
583,17418 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.327888,35.028146
584,3551 Al-Quds Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.546187,34.489281
585,7440 Al-Salam Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.521146,35.157329
586,73030 Sibat Street,Jenin,The State of Palestine,44843,The State of Palestine,32.452516,35.291324
587,424 Al-Salam Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.529096,35.157853
588,33691 Al-Amal Street,Halhul,The State of Palestine,90450,The State of Palestine,31.592576,35.102422
589,787 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.754297,35.263696
590,46636 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.190141,34.589009
591,3463 Al-Quds Street,Tubas,The State of Palestine,44838,The State of Palestine,32.329069,35.237896
592,211 Asira Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.195714,34.59213
593,31046 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.989508,35.190148
594,0496 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.525927,34.499767
595,9225 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.317573,35.22134
596,33218 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.511098,35.066253
597,0347 Al-Wehda Street,Halhul,The State of Palestine,90450,The State of Palestine,31.596028,35.105665
598,58912 Al-Amal Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.986377,35.134475
599,599 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.98031,35.181383
600,728 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.463239,35.095466
601,60666 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.52943,35.154105
602,9197 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.986465,35.190793
603,680 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.713425,35.188666
604,50957 Nativity Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.700598,35.214956
605,21941 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.553167,34.549158
606,7014 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.42866,34.350543
607,83757 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.546146,35.094173
608,335 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.977445,35.181434
609,6907 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.329248,35.027256
610,2653 Al-Wehda Street,Halhul,The State of Palestine,90450,The State of Palestine,31.591727,35.113327
611,453 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.918384,35.210693
612,08480 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.714319,35.215624
613,270 Hajja Street,Azzun,The State of Palestine,44846,The State of Palestine,32.189962,35.022346
614,52437 Shuhada Street,Hebron,The State of Palestine,90100,The State of Palestine,31.544336,35.116987
615,564 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.911693,35.226765
616,87179 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.458817,35.299558
617,9366 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.910822,35.22818
618,45793 Sibat Street,Jenin,The State of Palestine,44843,The State of Palestine,32.46952,35.283167
619,716 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.358448,34.294984
620,37444 Al-Quds Street,Tubas,The State of Palestine,44838,The State of Palestine,32.313502,35.22186
621,86166 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.511798,35.064163
622,4818 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.525071,35.159633
623,8018 Al-Quds Street,Halhul,The State of Palestine,90450,The State of Palestine,31.590393,35.105467
624,8140 Al-Quds Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.913466,35.210944
625,66718 Wadi Al-Tuffah Street,Hebron,The State of Palestine,90100,The State of Palestine,31.532866,35.119614
626,36956 Omar Mukhtar Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.504306,34.491027
627,505 Al-Quds Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.915148,35.213856
628,6603 Omar Mukhtar Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.533944,34.51633
629,952 Paris Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.321921,35.025842
630,2247 Al-Wehda Street,Tubas,The State of Palestine,44838,The State of Palestine,32.31828,35.222425
631,8155 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.427053,34.355685
632,0944 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.756999,35.264103
633,79165 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.51938,35.064044
634,6005 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.190381,34.596941
635,166 Al-Salam Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.523928,35.152871
636,30055 Azzun Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.193623,34.581748
637,3864 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.704693,35.220786
638,31934 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.705346,35.228561
639,498 Al-Wehda Street,Tubas,The State of Palestine,44838,The State of Palestine,32.325838,35.230584
640,3772 Rafidia Street,Nablus,The State of Palestine,44839,The State of Palestine,32.238398,35.245699
641,4367 Paris Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.334799,35.024027
642,85391 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.759642,35.262639
643,17179 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.757074,35.268871
644,4439 Star Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.70228,35.206771
645,92379 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.842319,35.132644
646,232 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.527889,34.483144
647,302 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.429091,34.3588
648,106 Al-Wehda Street,Halhul,The State of Palestine,90450,The State of Palestine,31.589015,35.108948
649,6728 Al-Quds Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.759666,35.263848
650,994 Al-Quds Street,Halhul,The State of Palestine,90450,The State of Palestine,31.590649,35.118132
651,167 Al-Quds Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.54372,34.488456
652,108 Rafidia Street,Nablus,The State of Palestine,44839,The State of Palestine,32.227644,35.241792
653,04811 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.427507,34.359765
654,74950 Al-Quds Street,Halhul,The State of Palestine,90450,The State of Palestine,31.597334,35.103339
655,54919 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.459482,35.283063
656,5604 Al-Naser Street,Rafah,The State of Palestine,00800,The State of Palestine,31.282225,34.221486
657,74282 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.420751,34.357593
658,6906 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.706163,35.220724
659,744 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.712948,35.189918
660,301 School Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.528856,35.158632
661,9399 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.753838,35.269342
662,2788 Al-Naser Street,Rafah,The State of Palestine,00800,The State of Palestine,31.296305,34.245034
663,2894 Al-Wehda Street,Tubas,The State of Palestine,44838,The State of Palestine,32.311914,35.221633
664,63808 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.468928,35.089468
665,14094 Zahra Street,Jenin,The State of Palestine,44843,The State of Palestine,32.469518,35.284259
666,446 Paris Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.313935,35.019999
667,13679 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.340272,34.299728
668,151 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.329193,35.026126
669,183 Al-Amal Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.992473,35.14446
670,730 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.85814,35.139462
671,7657 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.701869,35.227564
672,6652 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.706607,35.220198
673,4260 Nativity Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.715004,35.219465
674,0075 Star Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.711024,35.212727
675,779 Al-Karameh Street,Jericho,The State of Palestine,90600,The State of Palestine,31.863399,35.45376
676,49520 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.758618,35.262072
677,13996 Al-Quds Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.900216,35.206651
678,1996 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.425003,34.357399
679,07627 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.844071,35.139134
680,179 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.909831,35.20432
681,6284 Al-Quds Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.535677,34.496694
682,483 Al-Amal Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.351452,34.285973
683,6667 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.455054,35.092631
684,07469 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.345348,34.295846
685,200 Zahra Street,Jenin,The State of Palestine,44843,The State of Palestine,32.453036,35.292213
686,57174 Al-Quds Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.982496,35.131875
687,3284 Al-Quds Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.977206,35.195912
688,2304 Huwaij Street,Nablus,The State of Palestine,44839,The State of Palestine,32.23803,35.261921
689,51124 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.709194,35.220192
690,344 Shuhada Street,Hebron,The State of Palestine,90100,The State of Palestine,31.532981,35.098903
691,035 Al-Quds Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.750254,35.262479
692,565 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.105535,35.118762
693,6526 Asira Street,Azzun,The State of Palestine,44846,The State of Palestine,32.183185,35.028375
694,53948 Al-Quds Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.555975,34.540656
695,811 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.118296,35.101468
696,649 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.350621,34.29142
697,83455 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.424668,34.359038
698,198 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.984087,35.19118
699,3137 Al-Quds Street,Halhul,The State of Palestine,90450,The State of Palestine,31.593738,35.106262
700,2725 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.512551,35.067411
701,370 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.199255,34.581698
702,99224 Al-Jalaa Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.533203,34.495242
703,8182 Paris Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.329444,35.017619
704,776 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.182267,35.023621
705,5996 Nativity Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.704279,35.20393
706,7186 Al-Shab Street,Rafah,The State of Palestine,00800,The State of Palestine,31.292689,34.244346
707,98265 Old City Street,Nablus,The State of Palestine,44839,The State of Palestine,32.235322,35.264647
708,04154 Al-Quds Street,Yatta,The State of Palestine,90300,The State of Palestine,31.464647,35.084797
709,243 Al-Wehda Street,Halhul,The State of Palestine,90450,The State of Palestine,31.587377,35.112305
710,57764 Al-Khader Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.711475,35.181043
711,24360 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.429734,34.352837
712,55013 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.849498,35.137963
713,11690 Al-Salam Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.521841,35.153977
714,755 Al-Wehda Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.983168,35.146974
715,95359 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.750945,35.26061
716,388 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.842254,35.126568
717,277 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.424159,34.355795
718,0399 Al-Khader Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.713457,35.180346
719,08033 Martyrs Street,Rafah,The State of Palestine,00800,The State of Palestine,31.308362,34.2285
720,9351 Al-Quds Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.971781,35.199063
721,45588 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.514381,35.065694
722,07613 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.854239,35.13302
723,67124 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.526297,35.15959
724,456 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.527377,34.495189
725,523 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.515552,35.060577
726,089 Al-Quds Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.530342,34.463617
727,031 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.706809,35.226069
728,9068 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.348063,34.294329
729,5192 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.704566,35.226052
730,879 Al-Karameh Street,Jericho,The State of Palestine,90600,The State of Palestine,31.855077,35.459793
731,0199 Al-Karameh Street,Jericho,The State of Palestine,90600,The State of Palestine,31.862404,35.456444
732,99331 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.52325,35.156443
733,83297 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.985114,35.182591
734,41233 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.708272,35.229358
735,952 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.423314,34.359561
736,6562 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.716908,35.187567
737,380 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.318083,35.016812
738,18881 Shuhada Street,Hebron,The State of Palestine,90100,The State of Palestine,31.540296,35.116192
739,917 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.706943,35.219162
740,77756 Cremisan Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.716494,35.182485
741,613 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.451297,35.081209
742,3895 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.545102,35.118035
743,69593 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.421283,34.352159
744,80181 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.337165,35.012683
745,6942 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.195906,34.58125
746,84903 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.316435,35.02187
747,769 Al-Karameh Street,Jericho,The State of Palestine,90600,The State of Palestine,31.859203,35.44997
748,9286 Al-Quds Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.531066,34.498528
749,47480 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.514557,35.060365
750,36196 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.512208,35.068352
751,94484 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.328466,35.225998
752,8457 Al-Karameh Street,Jericho,The State of Palestine,90600,The State of Palestine,31.85344,35.446328
753,207 Sibat Street,Jenin,The State of Palestine,44843,The State of Palestine,32.459857,35.298349
754,4550 School Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.529844,35.157718
755,0468 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.422986,34.35247
756,8944 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.711912,35.188089
757,3693 Manger Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.70885,35.203159
758,89262 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.848787,35.128734
759,9176 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.547671,34.484613
760,4446 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.849217,35.13459
761,4883 Al-Manara Square,Ramallah,The State of Palestine,90710,The State of Palestine,31.905266,35.201537
762,863 Al-Quds Street,Yatta,The State of Palestine,90300,The State of Palestine,31.461908,35.098708
763,3452 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.11768,35.116418
764,382 Ariha Street,Jericho,The State of Palestine,90600,The State of Palestine,31.851452,35.441231
765,9822 Al-Wehda Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.986107,35.131713
766,985 Zahra Street,Jenin,The State of Palestine,44843,The State of Palestine,32.452178,35.291836
767,93181 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.31554,35.233091
768,34196 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.455976,35.097686
769,0646 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.460777,35.099945
770,5662 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.702365,35.224437
771,65663 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.326229,35.239087
772,03211 Manger Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.706498,35.207426
773,16940 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.539689,35.102806
774,532 Al-Quds Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.552225,34.545041
775,687 Al-Shab Street,Rafah,The State of Palestine,00800,The State of Palestine,31.296211,34.22995
776,4316 Al-Wehda Street,Halhul,The State of Palestine,90450,The State of Palestine,31.586449,35.115871
777,126 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.280587,34.241854
778,003 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.511331,35.067923
779,83650 Al-Quds Street,Biddu,The State of Palestine,90910,The State of Palestine,31.854504,35.121755
780,15362 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.555376,34.540287
781,9717 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.531408,34.492104
782,4905 Al-Quds Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.983956,35.19956
783,54424 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.510009,35.065978
784,3100 Al-Naser Street,Rafah,The State of Palestine,00800,The State of Palestine,31.300956,34.236322
785,586 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.313684,35.23608
786,7656 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.974997,35.197141
787,20375 Al-Wehda Street,Tubas,The State of Palestine,44838,The State of Palestine,32.31462,35.22326
788,0095 Al-Quds Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.553679,34.549119
789,90756 Old City Street,Nablus,The State of Palestine,44839,The State of Palestine,32.224308,35.244035
790,3662 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.187302,35.023889
791,2974 Al-Quds Street,Halhul,The State of Palestine,90450,The State of Palestine,31.588336,35.106956
792,5693 School Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.523123,35.152583
793,217 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.755505,35.266849
794,5081 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.840041,35.124156
795,1481 Hajja Street,Azzun,The State of Palestine,44846,The State of Palestine,32.184906,35.021184
796,49451 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.842259,35.131992
797,204 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.518619,35.061765
798,880 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.322658,35.025091
799,700 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.189552,35.02895
800,6396 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.512381,35.0697
801,2612 Al-Quds Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.970242,35.181153
802,46879 Al-Amal Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.35159,34.287829
803,97377 Al-Wehda Street,Biddu,The State of Palestine,90910,The State of Palestine,31.851703,35.126654
804,6152 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.42145,34.352749
805,0365 Zahra Street,Jenin,The State of Palestine,44843,The State of Palestine,32.456628,35.28833
806,713 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.10991,35.112282
807,526 Hajja Street,Azzun,The State of Palestine,44846,The State of Palestine,32.188462,35.027377
808,61028 Salah Eddin Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.556749,34.543999
809,709 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.354177,34.291395
810,00995 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.705345,35.221774
811,4713 Al-Quds Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.984102,35.182982
812,7670 Al-Amal Street,Halhul,The State of Palestine,90450,The State of Palestine,31.589913,35.107985
813,1954 Al-Amal Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.984374,35.198013
814,7610 Zahra Street,Jenin,The State of Palestine,44843,The State of Palestine,32.462921,35.292059
815,8278 Rafidia Street,Nablus,The State of Palestine,44839,The State of Palestine,32.236251,35.247529
816,06499 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.451694,35.099043
817,8043 Al-Quds Street,Tubas,The State of Palestine,44838,The State of Palestine,32.311948,35.225585
818,773 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.326987,35.018037
819,38633 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.192539,34.582899
820,8487 Huwaij Street,Nablus,The State of Palestine,44839,The State of Palestine,32.221884,35.245178
821,5032 Al-Khader Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.714032,35.180145
822,3040 Al-Wehda Street,Halhul,The State of Palestine,90450,The State of Palestine,31.582352,35.10978
823,037 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.554356,34.544505
824,064 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.45444,35.099658
825,97340 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.510143,35.06192
826,16825 Al-Amal Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.984107,35.135839
827,0631 Shuhada Street,Hebron,The State of Palestine,90100,The State of Palestine,31.542312,35.113924
828,311 Old City Street,Nablus,The State of Palestine,44839,The State of Palestine,32.219691,35.268641
829,687 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.976179,35.195533
830,89447 Al-Amal Street,Halhul,The State of Palestine,90450,The State of Palestine,31.582571,35.108733
831,9702 Asira Street,Azzun,The State of Palestine,44846,The State of Palestine,32.183656,35.026505
832,246 Al-Quds Street,Halhul,The State of Palestine,90450,The State of Palestine,31.583204,35.105556
833,67120 Wadi Al-Tuffah Street,Hebron,The State of Palestine,90100,The State of Palestine,31.53222,35.093689
834,758 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.555254,34.546038
835,1182 Al-Quds Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.753655,35.263567
836,064 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.539767,35.095681
837,99925 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.466397,35.082658
838,20073 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.420307,34.358098
839,93119 Al-Wehda Street,Tubas,The State of Palestine,44838,The State of Palestine,32.319636,35.228625
840,9557 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.513039,35.067524
841,8845 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.538276,34.488458
842,01890 Al-Wehda Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.982575,35.139902
843,26128 Al-Quds Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.994043,35.135779
844,13625 Al-Amal Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.981978,35.194519
845,2709 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.910624,35.224343
846,683 Al-Quds Street,Salfit,The State of Palestine,44837,The State of Palestine,32.115772,35.105388
847,2478 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.512536,35.064298
848,35079 Al-Karameh Street,Jericho,The State of Palestine,90600,The State of Palestine,31.868681,35.446746
849,47089 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.533019,35.101291
850,8372 Cremisan Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.718315,35.184453
851,989 Sibat Street,Jenin,The State of Palestine,44843,The State of Palestine,32.454741,35.28453
852,126 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.859875,35.120819
853,513 Asira Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.192698,34.58833
